ticker,count,score
RKHNF,0,0
UGA,0,0
YNNHF,0,0
APRN,0,0
HIL,0,0
EVFM,0,0
CBRL,0,0
MIHL,0,0
GNK,0,0
JPM.PRH,0,0
LSIIF,0,0
FIDS,0,0
AMBO,0,0
CRTPF,0,0
CPSDF,0,0
XITO,0,0
NNGPF,0,0
EFOI,0,0
CNTO,0,0
KNX,0,0
MHTZF,0,0
LYRTF,0,0
OSBC,0,0
CXXIF,0,0
CHIR,0,0
BCYPU,0,0
SAA,0,0
CYNS,0,0
PSYS,0,0
KXPLF,0,0
CSHEF,0,0
PHOT,0,0
VIGI,0,0
CAP.U,0,0
GVYB,0,0
CUAEF,0,0
JMTM,0,0
GDVM,0,0
BF.A,0,0
ACLS,0,0
TFFP,0,0
DBX,0,0
ICUI,0,0
BNCPY,0,0
TNSMF,0,0
CNPOF,0,0
NAACU,0,0
GTYH,0,0
SHIPZ,0,0
MRFGY,0,0
CLPIF,0,0
ACMB,0,0
TPSRF,0,0
GNPK.U,0,0
AFIPA,0,0
LZDLF,0,0
MWCAF,0,0
AMKR,0,0
AFDG,0,0
TYOYF,0,0
WASEF,0,0
IETC,0,0
PHR,0,0
TCEHY,0,0
PRTHW,0,0
IVUFF,0,0
MCA,0,0
SBMFF,0,0
FNDOY,0,0
EFT,0,0
GWLLF,0,0
WVAW,0,0
WTWGF,0,0
OMAB,0,0
TMV,0,0
SMLKF,0,0
STWOU,0,0
HCCCU,0,0
TRS,0,0
PTEO,0,0
COPJF,0,0
IGIC,0,0
CHKIF,0,0
MDLY,0,0
ETW,0,0
LTC,0,0
ADMS,0,0
IECS,0,0
SDGCF,0,0
NGS,0,0
PHRRF,0,0
DECN,0,0
TMEN,0,0
AMRA,0,0
XHR,0,0
SMDXF,0,0
FXTGY,0,0
KRKR,0,0
TXHPF,0,0
TECB,0,0
JMVYU,0,0
NCLTY,0,0
IMIMF,0,0
BFFBF,0,0
CMO.PRE,0,0
EFRTF,0,0
KRYPY,0,0
WRMA,0,0
GSEFF,0,0
HGEN,0,0
KSM,0,0
GPRK,0,0
MFMS,0,0
CWBK,0,0
GWACW,0,0
GLAQ,0,0
DEW,0,0
ABEPF,0,0
BBF,0,0
NFBK,0,0
SCNTQ,0,0
FMEQF,0,0
WARFY,0,0
NANHF,0,0
LGAH,0,0
FSUMF,0,0
QTGPF,0,0
MHYR,0,0
AKBA,0,0
AGLXY,0,0
LTMCF,0,0
PTIZF,0,0
PGPHF,0,0
PURT,0,0
ATAX,0,0
DLOC,0,0
TCYSF,0,0
GERS,0,0
STHI,0,0
ALBAF,0,0
AALBF,0,0
CME,0,0
VRDSF,0,0
TAQR,0,0
HRNBF,0,0
ARKAY,0,0
AMYT,0,0
CPTP,0,0
AGYTF,0,0
NMGRF,0,0
PTEN,0,0
MEPDF,0,0
TMAT,0,0
ENIHF,0,0
COMS,0,0
HJLIW,0,0
PYTCF,0,0
SPTM,0,0
CPXGF,0,0
FLRU,0,0
SSCFF,0,0
SFTW.U,0,0
GAINL,0,0
SSGOF,0,0
VWO,0,0
LFGP,0,0
TKSTF,0,0
ESGFF,0,0
TUFBY,0,0
DUKMF,0,0
ERPNF,0,0
BNTC,0,0
FUAPF,0,0
DLICY,0,0
HAFC,0,0
MAEOY,0,0
MYCOF,0,0
SSTK,0,0
EOG,0,0
BKSH,0,0
TACI,0,0
FNX,0,0
FLN,0,0
HBORF,0,0
PMDP,0,0
ELPVY,0,0
TDAC,0,0
MLLCF,0,0
KELYA,0,0
XERI,0,0
PFRRF,0,0
PTSI,0,0
UJAN,0,0
BPCP,0,0
RWLK,0,0
ASPL.U,0,0
BDOUF,0,0
HSWLF,0,0
DBTRF,0,0
FRACF,0,0
FOVL,0,0
VVIVF,0,0
FCNSF,0,0
TSOCF,0,0
UTRX,0,0
LCAP,0,0
COSO,0,0
FRHC,0,0
ONXXF,0,0
GLOB,0,0
DPNEF,0,0
SCPL,0,0
BLKB,0,0
DNP,0,0
QAT,0,0
ANDAR,0,0
GAILY,0,0
VKMTF,0,0
CWMCF,0,0
STPRF,0,0
FTDPF,0,0
CAOVF,0,0
ADXRF,0,0
LDRUF,0,0
HICTF,0,0
FGROY,0,0
DVRRF,0,0
JMPLF,0,0
ITAYY,0,0
HXOH,0,0
BLGO,0,0
FBAYF,0,0
MFEM,0,0
HHKIY,0,0
BSBR,0,0
IDIG,0,0
YLD,0,0
PIRS,0,0
STPK.WS,0,0
UATG,0,0
PROG,0,0
DWM,0,0
VIRT,0,0
BGY,0,0
FMAT,0,0
UTSL,0,0
VNQI,0,0
PVTTF,0,0
CFACU,0,0
SIBN,0,0
NDENF,0,0
KNCRF,0,0
BMGRF,0,0
PETZ,0,0
MSEZ,0,0
GXXM,0,0
SKLMF,0,0
GUZOF,0,0
AERZY,0,0
JRSH,0,0
MYMMF,0,0
SPRQ.WS,0,0
NBEV,0,0
OPVS,0,0
RDEMF,0,0
BRSLF,0,0
BSCL,0,0
ITMZF,0,0
GGT,0,0
TWER,0,0
RBWNY,0,0
HOYFF,0,0
CFTN,0,0
MCRZF,0,0
PTK,0,0
CDJM,0,0
MXDU,0,0
HBTPF,0,0
MAA,0,0
ATMH,0,0
ABGLF,0,0
TSRUF,0,0
BKLRF,0,0
EMBH,0,0
ENVIU,0,0
TPVY,0,0
CTPCY,0,0
DGTW,0,0
HSDT,0,0
CTNXF,0,0
FDVV,0,0
MAPL,0,0
AVSF,0,0
EOSI,0,0
UVPOF,0,0
LFBCF,0,0
GBCS,0,0
TGOWF,0,0
SGLBW,0,0
TRNS,0,0
UMICY,0,0
TTWO,0,0
GGN.PRB,0,0
ALHLF,0,0
UBNSF,0,0
FWLAF,0,0
BLBX,0,0
FSII,0,0
OODH,0,0
EOSE,0,0
PRWYF,0,0
SSSPF,0,0
SLLTF,0,0
STZHF,0,0
MOBEF,0,0
BYNEF,0,0
EMLL,0,0
TSRYF,0,0
LEIC,0,0
YAMCY,0,0
UDHCF,0,0
OJSY,0,0
ECTE,0,0
IRLTY,0,0
GDPHF,0,0
SHO.PRE,0,0
HWPR,0,0
DNGFF,0,0
MYFW,0,0
FGFI,0,0
KAKZF,0,0
WHLR,0,0
APSKY,0,0
CDGLY,0,0
AYFGF,0,0
WFC.PRW,0,0
MVXM,0,0
CRKT,0,0
EVTP,0,0
FLCH,0,0
ITOX,0,0
DMTKW,0,0
SMPP,0,0
HMSNF,0,0
PNXPF,0,0
FIVA,0,0
UCPA,0,0
EMTKF,0,0
HOCMF,0,0
BTWN,0,0
VNAPF,0,0
IHREF,0,0
DDT,0,0
MBLU,0,0
DLPN,0,0
OMPS,0,0
KSTBF,0,0
GES,0,0
VMNGF,0,0
AGGL,0,0
SGGC,0,0
GRXXF,0,0
HTAB,0,0
ARGNF,0,0
AAGRY,0,0
GGTTF,0,0
COGLF,0,0
ARLLF,0,0
VRSEF,0,0
BEKE,0,0
FLOOF,0,0
PSFT,0,0
DETNF,0,0
SPSTF,0,0
ADXN,0,0
NGUGF,0,0
ECYAF,0,0
MUTM,0,0
BTAFF,0,0
FXNC,0,0
IJS,0,0
DWAS,0,0
CTARF,0,0
ITMMF,0,0
AOIFF,0,0
LDHUF,0,0
AFBOF,0,0
GRRB,0,0
JSCVL,0,0
NWPHF,0,0
IEX,0,0
NEOS,0,0
GNUS,0,0
SFHD,0,0
HHC,0,0
RBCI,0,0
EHOS,0,0
CMCI,0,0
TRKNF,0,0
PRPB.WS,0,0
GDL.PRC,0,0
BFCH,0,0
OKUMF,0,0
CSPCY,0,0
PAIC,0,0
CSF,0,0
ATH.PRB,0,0
BITGF,0,0
MCHN,0,0
URGN,0,0
MEGGY,0,0
QRTEP,0,0
BNY,0,0
EDRY,0,0
KC,0,0
GRVY,0,0
IMMB,0,0
SPNV.U,0,0
RDRUY,0,0
TGGLF,0,0
FUISF,0,0
TRBMF,0,0
GBBEF,0,0
MMDWF,0,0
VEST,0,0
CTILF,0,0
ECOR,0,0
SKF,0,0
CVA,0,0
SCIA,0,0
PGSWF,0,0
THGHY,0,0
SWIOU,0,0
MXRSF,0,0
IDT,0,0
NORX,0,0
ATHJY,0,0
IDEV,0,0
BICB,0,0
CTMUF,0,0
CRRTF,0,0
RYDBF,0,0
COFSF,0,0
INSW,0,0
KMSHF,0,0
CODYY,0,0
AFBI,0,0
HDMV,0,0
BMBYF,0,0
VDRM,0,0
BSMM,0,0
TSUKF,0,0
JBHHY,0,0
MHH,0,0
SBOX,0,0
OUTB,0,0
GOOXF,0,0
TATD,0,0
IBAL,0,0
BOYJF,0,0
RIII,0,0
DYFN,0,0
AMNZF,0,0
IGIB,0,0
HKTHF,0,0
COPLF,0,0
GHMP,0,0
BKUCF,0,0
NSPR.WS,0,0
VTMTF,0,0
NODAF,0,0
CCFN,0,0
FORW,0,0
RFIL,0,0
VEII,0,0
ZGYHW,0,0
MYRPF,0,0
EVSLF,0,0
MIOFF,0,0
GODZF,0,0
TCLIF,0,0
CDID,0,0
STT.PRD,0,0
EAUI,0,0
OPSSF,0,0
MISVF,0,0
NMGC,0,0
PTHXF,0,0
NTN,0,0
EXPL,0,0
LGF.A,0,0
SEGR,0,0
BSFO,0,0
GDYN,0,0
BTGHF,0,0
BCS,0,0
NEE.PRP,0,0
IGRW,0,0
SPXN,0,0
CRSS,0,0
FEMPF,0,0
AVO,0,0
NUFMF,0,0
NTTDF,0,0
XYLD,0,0
LXENF,0,0
MRKR,0,0
CRDIY,0,0
TCCR,0,0
HY,0,0
CBKCQ,0,0
FTMR,0,0
RAVI,0,0
DMPHF,0,0
PMCCF,0,0
GPEDF,0,0
AUCUF,0,0
RMI,0,0
GORL,0,0
AMTX,0,0
KSCD,0,0
SPND,0,0
GSFI,0,0
GSAQU,0,0
AAYYY,0,0
SGG,0,0
TMAK,0,0
DFRYF,0,0
EMITF,0,0
VRSCF,0,0
PDPR,0,0
EVMGF,0,0
ACGLP,0,0
MXI,0,0
DTSRF,0,0
GMOLQ,0,0
BGNRF,0,0
CMBS,0,0
DDDX,0,0
VRTX,0,0
IOFNF,0,0
WSO,0,0
NEWUF,0,0
GMLP,0,0
ROBK,0,0
AMTI,0,0
UUMTF,0,0
ARYMF,0,0
VIHAW,0,0
VTON,0,0
SIRR,0,0
ABM,0,0
SURVF,0,0
EMPW.U,0,0
LUPTF,0,0
TSUKY,0,0
MQY,0,0
SEPJY,0,0
FGCUL,0,0
DISCA,0,0
GMOM,0,0
MMSHY,0,0
WKLN,0,0
PNBI,0,0
TCNNF,0,0
SCON,0,0
ALPE,0,0
GCPSF,0,0
ADMP,0,0
ASLM,0,0
MSUXF,0,0
NFPDF,0,0
YNSKF,0,0
LPCN,0,0
LIVKW,0,0
GLLA,0,0
HYKUF,0,0
PIPR,0,0
DRN,0,0
LFTPF,0,0
STAG.PRC,0,0
NXPGY,0,0
MPX,0,0
EQTE,0,0
STZ.B,0,0
SWWI,0,0
EAD,0,0
SEIBF,0,0
EWCLF,0,0
CMPGF,0,0
RPCCF,0,0
RNGG,0,0
SPSK,0,0
TILCF,0,0
AXXA,0,0
PEXXF,0,0
BEMG,0,0
AVRTF,0,0
VHAQ.U,0,0
CECL,0,0
ASPS,0,0
AAVXF,0,0
MRLWF,0,0
CRBJF,0,0
OLNK,0,0
XM,0,0
GENX,0,0
DGNS,0,0
RACA,0,0
ETIC,0,0
SOAC.U,0,0
GENGF,0,0
BKAG,0,0
INOD,0,0
MLYNF,0,0
CRJTF,0,0
DFP,0,0
SCPJ,0,0
EDR,0,0
AVCTF,0,0
PEXZF,0,0
LABU,0,0
SLNTY,0,0
BTOF,0,0
SPSM,0,0
VEGL,0,0
ITSHF,0,0
DRH.PRA,0,0
CHNGQ,0,0
THDS,0,0
IFHI,0,0
NNWWF,0,0
ABPA,0,0
LVTSF,0,0
MLI,0,0
WOSSF,0,0
PTGCF,0,0
DRIV,0,0
VOOG,0,0
IMKTA,0,0
WACMY,0,0
PLHNF,0,0
TNOXF,0,0
ALTHF,0,0
SODE,0,0
FSGB,0,0
BBXIA,0,0
ONTZF,0,0
CODGF,0,0
HYDN,0,0
ISSFF,0,0
HENOF,0,0
ICPT,0,0
FDYTF,0,0
BRBOY,0,0
BDOUY,0,0
GGBBF,0,0
HROW,0,0
COMB,0,0
SRAX,0,0
VGLIF,0,0
FCX,0,0
NRIS,0,0
AGTK,0,0
RUSHA,0,0
HTIA,0,0
YPHDF,0,0
TKCBF,0,0
TBVPY,0,0
TPB,0,0
ATNF,0,0
ATNM,0,0
GTTCF,0,0
EDNMF,0,0
PXMBF,0,0
HOVVB,0,0
ESBS,0,0
IDGXF,0,0
CMPI,0,0
BJ,0,0
ENDP,0,0
PRKI,0,0
RWX,0,0
GVAL,0,0
EINF,0,0
HELKF,0,0
STRXF,0,0
SWOOF,0,0
SZSAY,0,0
BAYN,0,0
NRYYY,0,0
XELA,0,0
DEED,0,0
SRGPF,0,0
SFNC,0,0
FTHY,0,0
NACB,0,0
SGPPY,0,0
GRVWF,0,0
CDEFF,0,0
WEIGF,0,0
ROIC,0,0
SNCVF,0,0
HSTRF,0,0
YLDE,0,0
WMWXF,0,0
AAGEF,0,0
VBK,0,0
HBAUF,0,0
PSA.PRD,0,0
CUKPF,0,0
CRVYF,0,0
BBU,0,0
NCRA,0,0
AYSI,0,0
ARRXF,0,0
ADDC,0,0
SLRK,0,0
GDLC,0,0
SNKOF,0,0
CARCY,0,0
BCYPW,0,0
AMIQF,0,0
LOKB.U,0,0
CHIM,0,0
WIW,0,0
OXXTF,0,0
OILFF,0,0
NSP,0,0
NOAH,0,0
NSSC,0,0
ATA.U,0,0
HUGPF,0,0
MSIXF,0,0
STGC,0,0
SEYMF,0,0
GAB.PRJ,0,0
HDIUF,0,0
BDWBY,0,0
TSCBP,0,0
OLDF,0,0
AEHR,0,0
FBIZ,0,0
CATH,0,0
RYU,0,0
LTUM,0,0
SESI,0,0
NHCZF,0,0
APSG.WS,0,0
NUO,0,0
BNKL,0,0
CSMYF,0,0
NJDCY,0,0
HUMRF,0,0
EDPFY,0,0
SHWDY,0,0
MXTSF,0,0
PPT,0,0
NHKFF,0,0
HHHEF,0,0
BMHKF,0,0
MIHI,0,0
SPFF,0,0
MQT,0,0
FMBIP,0,0
BLLI,0,0
NRGU,0,0
RBAC.WS,0,0
UNLA,0,0
MAGP,0,0
SFOSF,0,0
RZZRY,0,0
NBMLF,0,0
QQQN,0,0
TRNAF,0,0
CHIX,0,0
TLFE,0,0
BPCGF,0,0
AMSSY,0,0
WD,0,0
EFSG,0,0
BPMI,0,0
FINGF,0,0
BGI,0,0
CFPI,0,0
DOCKF,0,0
LDOMF,0,0
JPPHY,0,0
MHGTU,0,0
SUPGF,0,0
ECDD,0,0
UNHRF,0,0
TTNDF,0,0
NICLF,0,0
SHMAY,0,0
LOAC,0,0
QQC,0,0
PVL,0,0
BRMK.WS,0,0
EPR.PRG,0,0
SCHC,0,0
IMPX.U,0,0
REXOF,0,0
LTSY,0,0
TSQ,0,0
PHGE.U,0,0
SINT,0,0
GPOLF,0,0
NBRNF,0,0
MNBEY,0,0
IAG,0,0
CHNA,0,0
DFPH,0,0
BAC.PRP,0,0
FJSIY,0,0
NLY.PRG,0,0
AMNF,0,0
TAPM,0,0
INDXF,0,0
OSGSY,0,0
RCZRF,0,0
BDIMF,0,0
YDVL,0,0
SNMRF,0,0
ANYYY,0,0
NPPTF,0,0
STZU,0,0
BVNKF,0,0
ZNCXF,0,0
CCAQ,0,0
TTSRF,0,0
GRNWF,0,0
BIEL,0,0
FWAA,0,0
TBLZ,0,0
QNTO,0,0
HVBC,0,0
ALK,0,0
ASPT,0,0
SPGM,0,0
IGLB,0,0
DXJ,0,0
OPTBF,0,0
XISHY,0,0
WOPEY,0,0
ROYE,0,0
SNFRY,0,0
FOSL,0,0
QDRSF,0,0
NMTT,0,0
MTP,0,0
FVPI,0,0
RSVAU,0,0
ATLIF,0,0
CNSP,0,0
STMAF,0,0
NWGN,0,0
OLP,0,0
JBARF,0,0
PAI,0,0
BDGSF,0,0
CPT,0,0
CGGGF,0,0
ISLV,0,0
AHCCF,0,0
BCND,0,0
GGBL,0,0
QMN,0,0
ESNC,0,0
NGD,0,0
TUXS,0,0
GKSGF,0,0
UCBJF,0,0
HSBC,0,0
THBIY,0,0
GFI,0,0
HERC,0,0
BCTXW,0,0
AABB,0,0
XYLG,0,0
SNBOY,0,0
AZIHY,0,0
UWKI,0,0
CLLXF,0,0
ICTV,0,0
GRPAQ,0,0
OMMH,0,0
AKEJF,0,0
NOMD,0,0
EAOM,0,0
TTSI,0,0
JNES,0,0
XVZ,0,0
CHHE,0,0
QCPC,0,0
TIPX,0,0
EVRG,0,0
DLAD,0,0
TTVSF,0,0
NWNNF,0,0
STAGF,0,0
SHKLY,0,0
MGMLF,0,0
FRMC,0,0
UKLLF,0,0
HCGOF,0,0
JPIB,0,0
PBBSF,0,0
SBRA,0,0
FRAF,0,0
FUIZF,0,0
SZGPY,0,0
PCDVF,0,0
TRGNF,0,0
JPM.PRC,0,0
QBIEY,0,0
DBVTF,0,0
CHFHF,0,0
PACB,0,0
PBEP,0,0
WUHN,0,0
SMAGF,0,0
INII,0,0
BTRYF,0,0
AAGC,0,0
MEDIF,0,0
ALIN.PRB,0,0
HIIDY,0,0
GPTRF,0,0
SRTOY,0,0
CIWT,0,0
BLEG,0,0
JPSTF,0,0
RCHN,0,0
KNNNF,0,0
CSNVF,0,0
NOBDF,0,0
EXCH,0,0
GOED,0,0
BVS,0,0
IGEZF,0,0
RMTD,0,0
JTEKF,0,0
SFST,0,0
OSNDF,0,0
CATN,0,0
SMTX,0,0
VEOEY,0,0
APLD,0,0
EGMLF,0,0
CYNK,0,0
OPMZ,0,0
GUOLF,0,0
OTCKU,0,0
OMDD,0,0
UBP,0,0
CPAMF,0,0
CLNE,0,0
PEB.PRC,0,0
NGG,0,0
NVS,0,0
PRN,0,0
PVEN,0,0
RVIV,0,0
IVLC,0,0
FLQG,0,0
GVDNY,0,0
PTTTS,0,0
PHGD,0,0
BNVIF,0,0
ATAC,0,0
ARTR,0,0
MAXAF,0,0
ATDS,0,0
ISRHF,0,0
LEAP.WS,0,0
FSRXU,0,0
WDFCF,0,0
WOWI,0,0
SDMHF,0,0
PTLF,0,0
HDGE,0,0
CRI,0,0
DNK,0,0
SHOLF,0,0
NMMC,0,0
APVO,0,0
GRYG,0,0
HBPCF,0,0
EFU,0,0
PTXAF,0,0
EDWZF,0,0
GLBLU,0,0
PSMB,0,0
FABP,0,0
TAPCF,0,0
ARAT,0,0
CLRMF,0,0
SIXL,0,0
GKSDF,0,0
ANAS,0,0
MDRA,0,0
CNCL,0,0
RELT,0,0
CNBP,0,0
WTPNU,0,0
RTGGF,0,0
BGAIF,0,0
PCPPF,0,0
SIDGQ,0,0
QATAF,0,0
UBA,0,0
VRNS,0,0
SLSR,0,0
BYRN,0,0
NEXPF,0,0
JECFF,0,0
RFBC,0,0
ILIAY,0,0
KSMT,0,0
MIELY,0,0
UNSS,0,0
CTXXF,0,0
RLMD,0,0
ATEC,0,0
XSNX,0,0
BLCN,0,0
GFX.WS,0,0
ESGRP,0,0
LVMHF,0,0
YTROF,0,0
TDMMF,0,0
PSKRF,0,0
PMMEF,0,0
WBIN,0,0
MIHDF,0,0
AGFY,0,0
SEYE,0,0
RILYH,0,0
AEGN,0,0
GTO,0,0
LAIX,0,0
SPNE,0,0
JFBHF,0,0
SKYU,0,0
LPTC,0,0
RNSDF,0,0
MSYN,0,0
ECGI,0,0
VCYE,0,0
ECXJ,0,0
CHZHF,0,0
PSBKF,0,0
HTNGF,0,0
RBTK,0,0
MNGG,0,0
ZNGGF,0,0
DOCOF,0,0
RICE.WS,0,0
IVME,0,0
DOEGF,0,0
UPRM,0,0
TPL,0,0
PXE,0,0
COUP,0,0
ARLUF,0,0
JCS,0,0
SSDRF,0,0
FNCNF,0,0
DHUA,0,0
AADR,0,0
AMH.PRF,0,0
SNNY,0,0
CNHHY,0,0
WRK,0,0
JSNSF,0,0
DXSCF,0,0
TXLZF,0,0
VKI,0,0
CHAQ.WS,0,0
DXCPY,0,0
VTAQR,0,0
CHL,0,0
PDLB,0,0
GRCLY,0,0
FTMNF,0,0
RMRM,0,0
SMSEY,0,0
COGT,0,0
SAABY,0,0
SRS,0,0
GIX.RT,0,0
RRETY,0,0
KMRPF,0,0
FGHQF,0,0
OVF,0,0
WLOLQ,0,0
NIPKF,0,0
EDTX,0,0
CMLS,0,0
PACE.WS,0,0
CWMZF,0,0
HCICU,0,0
ANNMF,0,0
BPMC,0,0
VEND,0,0
PNDFF,0,0
SHTDY,0,0
JHAA,0,0
DCHIF,0,0
CHWXF,0,0
BUSXF,0,0
ALRHF,0,0
RCKTF,0,0
KNKT,0,0
RICOF,0,0
HOMS.PRA,0,0
OMDHF,0,0
SCCO,0,0
IDEXY,0,0
BNDW,0,0
BLSSF,0,0
IPOF,0,0
ULOCF,0,0
XLP,0,0
VPLCF,0,0
ALEDY,0,0
GMVHY,0,0
CWIR,0,0
TINV,0,0
ANHTF,0,0
LJUIF,0,0
TGMEF,0,0
CUENW,0,0
DATWY,0,0
PLSDF,0,0
HIMS.WS,0,0
MYDIF,0,0
AREB,0,0
ZAHA,0,0
PBTP,0,0
TGNA,0,0
IPWG,0,0
PTK.WS,0,0
ATFS,0,0
IYT,0,0
CPWY,0,0
HHRRF,0,0
SHCAY,0,0
NHBAF,0,0
JJCTF,0,0
DNIF,0,0
CHKEW,0,0
SFPI,0,0
YTLPF,0,0
BGFGF,0,0
CRBN,0,0
UEHPY,0,0
ANKOF,0,0
ARTW,0,0
SDVLF,0,0
VSSPY,0,0
IVREF,0,0
MEDS,0,0
TLH,0,0
VYTPF,0,0
HMTV,0,0
PGGG,0,0
FSLUF,0,0
TEKXF,0,0
IESFY,0,0
IDRSF,0,0
BCINF,0,0
AICAF,0,0
SLP,0,0
FDFT,0,0
IVCO,0,0
CFCGY,0,0
SVMN,0,0
KGTFF,0,0
FTRPF,0,0
SNGWF,0,0
PEI.PRC,0,0
BOLSF,0,0
PCB,0,0
DMKBA,0,0
VICR,0,0
QRRY,0,0
TCHBF,0,0
CTAGY,0,0
HPHGF,0,0
CABA,0,0
CKSNF,0,0
VDOMF,0,0
RGVNF,0,0
HLFDF,0,0
CHHGF,0,0
ETSCF,0,0
PXRB,0,0
TPGTF,0,0
ERYP,0,0
ISMJF,0,0
INM,0,0
IPXAF,0,0
VSTCQ,0,0
EMX,0,0
THTI,0,0
SOLOW,0,0
STOSF,0,0
QQQFF,0,0
FDN,0,0
PAZRF,0,0
CAPTF,0,0
SYPT,0,0
ISARF,0,0
HEQ,0,0
VTKLF,0,0
TGLDF,0,0
ABOIF,0,0
